Phase,Activity / Task,Trade,Workers,Priority,Site Zone,Special Note,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28
0 · Pre-Con,Permits + plan approvals,GC / Architect,1,CRIT,Office,LVL beams need lumber co. sign-off,█,█,,,,,,,,,,,,,,,,,,,,,,,,,,
0 · Pre-Con,Site survey + stakeout,Surveyor,2,CRIT,Full site,"84'1"" × 60' footprint + setbacks",█,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 · Pre-Con,Soil test + geotechnical,Geotech,2,HIGH,Full footprint,Mediterranean soil bearing check,█,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 · Pre-Con,Lumber co. LVL beam engineering,Lumber co. / SE,1,CRIT,Office,ALL LVL beams must be engineered + signed off,█,█,,,,,,,,,,,,,,,,,,,,,,,,,,
0 · Pre-Con,Temp site office + fencing,GC,3,MED,Perimeter,Single entry point – South access,,█,,,,,,,,,,,,,,,,,,,,,,,,,,
1 · Site Prep,Clearing + grubbing,Civil,4,HIGH,Full site,84' wide site – significant clear area,,,█,,,,,,,,,,,,,,,,,,,,,,,,,
1 · Site Prep,Rough grading + cut/fill,Civil,5,HIGH,Full footprint,Establish pad elevation,,,█,,,,,,,,,,,,,,,,,,,,,,,,,
1 · Site Prep,Temp drainage + erosion control,Civil,3,HIGH,Site perimeter,Mediterranean site often sloped,,,,█,,,,,,,,,,,,,,,,,,,,,,,,
1 · Site Prep,Utility trenching + connections,Civil / Utility,4,CRIT,South + North edges,"Water, sewer, electric, gas to building",,,,█,,,,,,,,,,,,,,,,,,,,,,,,
2 · Foundation,Excavation – full footprint,Civil,6,CRIT,Full footprint,84'×60' – large excavation. Spoil: East,,,,█,█,,,,,,,,,,,,,,,,,,,,,,,
2 · Foundation,Footings – pour + cure,Concrete,7,CRIT,Building perimeter,Stepped footings likely on sloped Med. site,,,,,█,█,,,,,,,,,,,,,,,,,,,,,,
2 · Foundation,Foundation walls + stem walls,Concrete / Mason,8,CRIT,Full perimeter,Garage slab area separate pour,,,,,,█,█,,,,,,,,,,,,,,,,,,,,,
2 · Foundation,Under-slab plumbing rough-in,Plumber,4,CRIT,Kitchen+bath zones,Master bath + main bath + laundry,,,,,,█,█,,,,,,,,,,,,,,,,,,,,,
2 · Foundation,Slab on grade – garages + entry,Concrete,7,CRIT,Garages + porch,938 SF garage slab. Colored entry porch slab,,,,,,,█,█,,,,,,,,,,,,,,,,,,,,
2 · Foundation,Main floor slab pour,Concrete,8,CRIT,Full first floor,PEAK DAY – large pour. 10-12 mixer trucks,,,,,,,,█,,,,,,,,,,,,,,,,,,,,
3 · Framing 1F,Exterior wall framing – 1st floor,Carpenter,9,CRIT,Full perimeter,2×6 exterior walls. 10' plate height,,,,,,,,,█,█,,,,,,,,,,,,,,,,,,
3 · Framing 1F,Interior wall framing – 1st floor,Carpenter,8,HIGH,All interior,"2×4 interior, 2×6 continuous bearing walls",,,,,,,,,,█,█,,,,,,,,,,,,,,,,,
3 · Framing 1F,LVL beam install – Great Room,Struct. crew,5,CRIT,Great Room center,High-strength header – lumber co. engineered,,,,,,,,,,█,,,,,,,,,,,,,,,,,,
3 · Framing 1F,LVL beam – Grand Entry Foyer,Struct. crew,5,CRIT,Entry foyer,Two-story void – engineer signed off,,,,,,,,,,█,,,,,,,,,,,,,,,,,,
3 · Framing 1F,LVL beam – garage openings,Struct. crew,4,CRIT,Both garages,18×8 + 9×8 door headers – LVL,,,,,,,,,,,█,,,,,,,,,,,,,,,,,
3 · Framing 1F,Stair framing – grand stair,Carpenter,4,HIGH,Entry foyer,"6'×10' 1/4"" radius top treads – Med. style",,,,,,,,,,,█,,,,,,,,,,,,,,,,,
3 · Framing 1F,Framing inspections – 1st floor,Inspector,1,CRIT,All 1st floor,Before 2nd floor starts,,,,,,,,,,,,█,,,,,,,,,,,,,,,,
4 · Framing 2F,2nd floor TJI joist system,Carpenter,7,CRIT,Over E portion,"TJI joists + 2×6"" 15' 5c per builder",,,,,,,,,,,,█,█,,,,,,,,,,,,,,,
4 · Framing 2F,2nd floor wall framing (899 SF),Carpenter,8,HIGH,2nd floor – East,9' plate height 2nd floor,,,,,,,,,,,,,█,█,,,,,,,,,,,,,,
4 · Framing 2F,Tray ceiling framing – master,Carpenter,4,HIGH,Master Bedroom E,Frame tight as possible per plan note,,,,,,,,,,,,,,█,,,,,,,,,,,,,,
4 · Framing 2F,Two-story void framing – foyer,Carpenter,4,CRIT,Entry Foyer,Rotunda + chandelier provision – critical,,,,,,,,,,,,,█,█,,,,,,,,,,,,,,
4 · Framing 2F,Two-story void framing – Gt Room,Carpenter,4,CRIT,Great Room,Coffered ceiling structure begins,,,,,,,,,,,,,█,█,,,,,,,,,,,,,,
4 · Framing 2F,Attic framing – over garages,Carpenter,4,HIGH,Garage attic zones,"234 SF attic, 8'×4"" 2×6 ceiling joists",,,,,,,,,,,,,,█,,,,,,,,,,,,,,
4 · Framing 2F,Roof framing – main hip/gable,Carpenter,8,CRIT,Full roof,"8:12 hip rafter + 5:12 typical, 2×12 nipple",,,,,,,,,,,,,,█,█,,,,,,,,,,,,,
4 · Framing 2F,Roof sheathing + felt,Carpenter,6,HIGH,Full roof,Internal bracing lead bearing load bearing,,,,,,,,,,,,,,,█,,,,,,,,,,,,,
4 · Framing 2F,Framing final inspection,Inspector / SE,1,CRIT,Full structure,Lumber co. + SE sign-off on all LVL beams,,,,,,,,,,,,,,,,█,,,,,,,,,,,,
5 · Exterior,Roof tile – Mediterranean clay,Roofer,6,CRIT,Full roof,Clay tile heavy – structural check first,,,,,,,,,,,,,,,,█,█,,,,,,,,,,,
5 · Exterior,Exterior stucco – 3-coat system,Plasterer,8,HIGH,All exterior walls,"Mediterranean stucco – lath, scratch, brown, finish",,,,,,,,,,,,,,,,,█,█,█,,,,,,,,,
5 · Exterior,Masonry columns – front porch,Mason,4,HIGH,South front porch,"Mediterranean columns, deck, front feature",,,,,,,,,,,,,,,,,█,█,,,,,,,,,,
5 · Exterior,Colored entry porch – flagstone,Mason,4,HIGH,South-Center entry,"Flagstone on 4"" slab, raised masonry porch",,,,,,,,,,,,,,,,,,█,█,,,,,,,,,
5 · Exterior,Raised masonry porch columns,Mason,3,MED,South entry,"4' columns, 2×12 block sizes OR 8"" block",,,,,,,,,,,,,,,,,,█,█,,,,,,,,,
5 · Exterior,Exterior windows + doors,Window installer,4,HIGH,All elevations,"6'×8' window units, 6×8 Alder front door",,,,,,,,,,,,,,,,,,█,█,,,,,,,,,
5 · Exterior,Garage doors – 18×8 + 9×8,Door installer,2,MED,Both garages,"Two-car 18'×8', one-car 9'×8'",,,,,,,,,,,,,,,,,,,█,,,,,,,,,
5 · Exterior,Grand entry door – 6×8 Alder,Door installer,2,HIGH,Front entry,"Top treated wood alder, reinforced header",,,,,,,,,,,,,,,,,,,█,,,,,,,,,
5 · Exterior,Grand stair – exterior masonry,Mason,3,HIGH,Front entry porch,"7-8 stair options, 3rd optional per plan",,,,,,,,,,,,,,,,,,,,█,█,,,,,,,
6 · MEP Rough,Plumbing rough-in – all baths,Plumber,5,CRIT,Master+main bath+ldy,"Master bath: wet bar, storage, 2 heads",,,,,,,,,,,,,,,,,,█,█,█,,,,,,,,
6 · MEP Rough,HVAC rough-in – all floors,HVAC,4,HIGH,All rooms + attic,Attic HVAC zone above garages,,,,,,,,,,,,,,,,,,,█,█,█,,,,,,,
6 · MEP Rough,Electrical rough-in,Electrician,4,HIGH,All rooms,200A+ panel. Chandelier provision – foyer,,,,,,,,,,,,,,,,,,,█,█,█,,,,,,,
6 · MEP Rough,Gas rough-in – fireplace + range,Plumber / Gas,2,HIGH,Great Rm + Kitchen,Fireplace gas log + kitchen range,,,,,,,,,,,,,,,,,,,,█,,,,,,,,
