SPATIAL CONFLICT RISK REGISTER — House #415 Mediterranean,,,,,,
"Largest of 3 plans — dual crane phases, two-story scaffold conflicts, and Mediterranean exterior complexity create multiple critical spatial clashes",,,,,,
Week,Conflict Type,Element A,Element B,Zone,Severity,Resolution
8,Peak concrete – site lockdown,Main floor slab pour (10-12 trucks),ALL other site activities,Full site,CRITICAL,Full site lockdown on pour day. Two pumps South + West. No other deliveries. Book concrete plant Friday before
10,LVL beam sequence,Great Room LVL beam (crane),Foyer LVL beam (crane),Center site,CRITICAL,"One crane cannot do both in same lift. Sequence: Great Room Mon AM, Foyer Wed AM. Crane repositions between"
11,Crane + garage header conflict,Two-car garage 18' LVL header,One-car garage 9' header,West garages,HIGH,Crane moves to West position for garage headers after main beams. Clear West staging entirely
13,Crane + joist + scaffold,TJI joists (crane – East),Interior scaffold (two-story voids),East + Center,HIGH,Exterior crane lifts joists East. Interior scaffold team works Center simultaneously. Crane arc must not cross scaffold zone
14,Roof framing + two-story void,Roof framing crane (South),Interior two-story framing scaffold,S + Center,CRIT,Crane active South for roof. Interior scaffold active Center. Banksman required. Define no-cross zones clearly
16,Clay tile weight + structure,Clay tile delivery (very heavy),Roof structural sign-off,Full roof,CRITICAL,Clay tile must NOT be delivered before structural engineer signs off on roof framing. Sequence is non-negotiable
17,Stucco scaffold vs deliveries,Full perimeter scaffold (3-coat),All exterior material deliveries,All 4 elevations,HIGH,Designate 2 scaffold gaps at South for material pass-through. All deliveries weeks 17-20 via South gaps only
18,Porch masonry + active scaffold,Front porch columns + masonry,Exterior stucco scaffold,South elevation,HIGH,South scaffold must have clear bay at porch zone. Masonry crew and stucco crew coordinate daily to avoid collision
18,Two heavy deliveries – South,Flagstone pallets (entry porch),Masonry block (porch columns),South-Center,HIGH,"Both arriving same zone same week. Stage flagstone Monday, columns Wednesday. Forklift shared resource – book in advance"
19,Window delivery + scaffold,Window units (fragile),Active stucco scaffold,All elevations,HIGH,Scaffold gaps for window pass-through. Windows delivered just-in-time. Stucco crew moves to opposite elevation
20,Exterior stair + porch finish,Grand entry stair masonry,Front porch column completion,South front,MED,Stair below porch level. Sequence: porch columns complete → then stair. Shared South staging area
20,HVAC unit + roof,HVAC air handler (crane lift to attic),Roof tile (ongoing),Roof + North,HIGH,Crane needed for HVAC unit to attic zone. Roof tilers move to South slope while crane lifts North. Coordinate daily
23,Three special ceilings – scaffold,Coffered ceiling (Great Room),Rotunda (Foyer) + Tray (Master),Center + East,CRITICAL,"All three specialty ceilings happen weeks 23-25. Interior scaffold is a shared resource. One crew per room. Schedule: Rotunda Mon-Fri Wk23, Coffered Wk24, Tray Wk24 parallel"
26,Chandelier + active paint,Chandelier installation (scaffold),Interior paint crew,Grand Foyer,HIGH,Paint foyer walls BEFORE chandelier install. Chandelier fragile – no overspray. Sequence: paint → dry → chandelier
14,LVL beam engineering lead time,Framing schedule (Wk 9 start),LVL beam delivery (needs eng. approval),Site,CRITICAL,"LVL beams ordered week 1. Lumber co. engineering takes 3-4 weeks. If delayed, framing halts. Track weekly from week 1"
