Phase,Activity / Task,Trade,Workers,Priority,Site Zone,Reno Note,Wk1,Wk2,Wk3,Wk4,Wk5,Wk6,Wk7,Wk8,Wk9,Wk10,Wk11,Wk12,Wk13,Wk14,Wk15,Wk16,Wk17,Wk18,Wk19,Wk20,Wk21,Wk22
0 · Pre-Con,Hazmat / asbestos survey,Hazmat consultant,2,CRIT,Full interior,MANDATORY before demo,█,,,,,,,,,,,,,,,,,,,,,
0 · Pre-Con,Structural engineer assessment,Struct. Engineer,2,CRIT,All beam/post locs,Verify existing beams for new loads,█,,,,,,,,,,,,,,,,,,,,,
0 · Pre-Con,Permit applications,GC / Architect,1,CRIT,Office,All permits before mobilisation,█,█,,,,,,,,,,,,,,,,,,,,
0 · Pre-Con,Occupant vacate + contents removal,Owner / Movers,4,CRIT,Full building,Building must be empty before demo,█,,,,,,,,,,,,,,,,,,,,,
0 · Pre-Con,Temporary protection – exist. porch+stairs,GC,3,HIGH,East porch + stairs,Protect items noted 'remain',,█,,,,,,,,,,,,,,,,,,,,
1 · Demo,Remove existing stairs (kitchen),Demo crew,4,CRIT,Kitchen – NE,Plan notes: remove exist. stairs,,,█,,,,,,,,,,,,,,,,,,,
1 · Demo,Remove existing floor assembly (kit),Demo crew,4,CRIT,Kitchen floor zone,New floor assembly to design F4a,,,█,,,,,,,,,,,,,,,,,,,
1 · Demo,Close-up exist. window openings,Mason / Carpenter,3,HIGH,Bedroom 1 + 2,Face brick to match existing,,,█,█,,,,,,,,,,,,,,,,,,
1 · Demo,Remove exist. beam – dining,Struct. crew,3,CRIT,Dining – E,Replace w/ Parallam beam No.3,,,,█,,,,,,,,,,,,,,,,,,
1 · Demo,Remove exist. brick post – SE,Mason,2,HIGH,South-East corner,"Rebuild new 12""×12"" on same fdn",,,,█,,,,,,,,,,,,,,,,,,
1 · Demo,Hazmat abatement (if found),Hazmat contractor,3,CRIT,As identified,Stop-work until cleared if found,,,█,█,,,,,,,,,,,,,,,,,,
2 · Structure,Install new Parallam beam No.3 – dining,Struct. crew,4,CRIT,Dining zone,"3½×9½"" 2.0E Parallam. Temp shores req.",,,,,█,,,,,,,,,,,,,,,,,
2 · Structure,Timberstrand beam No.6 – porch,Carpenter / Struct,4,CRIT,North-West porch,2-1 3/4×11 7/8×1.7E beam,,,,,█,█,,,,,,,,,,,,,,,,
2 · Structure,HSS steel post installation,Steel / Struct.,3,CRIT,West parking lvl,"3.5"" HSS, 0.188"" thick, base plate",,,,,█,█,,,,,,,,,,,,,,,,
2 · Structure,TJI floor joists – parking/storage,Carpenter,4,HIGH,West levels,"11 7/8"" TJI @ 16"" OC",,,,,,█,█,,,,,,,,,,,,,,,
2 · Structure,New ledger connection – kitchen,Carpenter,3,HIGH,Kitchen – NE,"2-2×10 ledger, 2 rows 1½"" dia bolts",,,,,,█,,,,,,,,,,,,,,,,
2 · Structure,New concrete block wall – parking,Mason,4,HIGH,West parking,"8"" conc. block, design B1b, SG-8",,,,,,█,█,,,,,,,,,,,,,,,
2 · Structure,Structural inspections,Inspector + SE,1,CRIT,All structural,Engineer sign-off before close-up,,,,,,,,█,,,,,,,,,,,,,,
3 · Exterior,New floor assembly – kitchen,Carpenter,3,CRIT,Kitchen,Per Design No. F4a – 45min fire rating,,,,,,,,,█,█,,,,,,,,,,,,
3 · Exterior,Face brick – bedroom windows,Mason / Bricklayer,3,HIGH,Bedroom 1+2 facade,Match existing brick exactly,,,,,,,,,█,█,,,,,,,,,,,,
3 · Exterior,New windows – bedroom 1+2 + living,Window installer,2,HIGH,N facade + E,New window units to match exist. size,,,,,,,,,,█,,,,,,,,,,,,
3 · Exterior,New concrete stairs – east porch,Concrete crew,3,MED,East covered porch,New conc. stair at exist. porch,,,,,,,,,,█,,,,,,,,,,,,
3 · Exterior,New brick post – SE corner,Mason,2,HIGH,South-East,"12""×12"" on same existing foundation",,,,,,,,,,█,█,,,,,,,,,,,
3 · Exterior,Garage slab – patch + seal,Concrete,2,MED,Garage,"4"" slab on 6"" crushed stone, 1% slope",,,,,,,,,,,█,,,,,,,,,,,
3 · Exterior,Gas-proof ceiling repair – garage,GC / Drywall,2,CRIT,Garage,Must maintain gas-proof rating throughout,,,,,,,,,,,█,,,,,,,,,,,
3 · Exterior,"Guard rails – parking (3'-6"" high)",Metal fabricator,2,HIGH,North-West porch,"3'-6"" high guard per plan",,,,,,,,,,,█,,,,,,,,,,,
4 · MEP Rough,Plumbing rough-in – bathroom + W/D,Plumber,3,HIGH,Center bathroom,W/D hookup adjacent bathroom,,,,,,,,,,█,█,,,,,,,,,,,
4 · MEP Rough,Electrical rough-in – all areas,Electrician,3,HIGH,All rooms,Panel upgrade likely required,,,,,,,,,,█,█,,,,,,,,,,,
4 · MEP Rough,HVAC rough-in,HVAC,2,HIGH,All rooms,Coordinate with new floor assembly,,,,,,,,,,,█,█,,,,,,,,,,
4 · MEP Rough,Gas line – garage (gas-proof zone),Plumber / Gas,2,CRIT,Garage,Gas-proof ceiling critical – inspect,,,,,,,,,,,,█,,,,,,,,,,
4 · MEP Rough,MEP inspections,Inspector,1,CRIT,All,Before any close-up or insulation,,,,,,,,,,,,,█,,,,,,,,,
5 · Interior,Insulation – walls + 1½hr ceiling,Insulator,3,CRIT,Parking + garage,1½ hr C1 type ceiling – fire rated,,,,,,,,,,,,,█,,,,,,,,,
5 · Interior,Drywall – all interior,Drywaller,4,HIGH,All interior,Type X where fire-rated required,,,,,,,,,,,,,,█,█,,,,,,,
